edge_id,source,target,source_label,target_label,edge_type,weight,event_id
e79,event_ee7a720eb916,related_party_542e62056c04,OF2024-LITIGATION litigation_contingency,客户、分包商、供应商等,related_to,1.00,OF2024-LITIGATION
e80,company_9a3040dd6ec0,event_5cb8d8cf500a,中国中铁股份有限公司,OF2024-PROFIT financial_pressure,involves,4.00,OF2024-PROFIT
e81,event_5cb8d8cf500a,risk_type_828441d4753e,OF2024-PROFIT financial_pressure,profitability,classified_as,4.00,OF2024-PROFIT
e82,event_5cb8d8cf500a,year_bc19ba460f1f,OF2024-PROFIT financial_pressure,2024,occurred_in,1.00,OF2024-PROFIT
e83,event_5cb8d8cf500a,source_c9ee6d60b2e8,OF2024-PROFIT financial_pressure,中国中铁2024年年度报告,evidenced_by,1.00,OF2024-PROFIT
e84,company_9a3040dd6ec0,event_7babe8660715,中国中铁股份有限公司,OF2024-SOLVENCY financial_pressure,involves,4.00,OF2024-SOLVENCY
e85,event_7babe8660715,risk_type_40b7822a570d,OF2024-SOLVENCY financial_pressure,solvency,classified_as,4.00,OF2024-SOLVENCY
e86,event_7babe8660715,year_bc19ba460f1f,OF2024-SOLVENCY financial_pressure,2024,occurred_in,1.00,OF2024-SOLVENCY
e87,event_7babe8660715,source_c9ee6d60b2e8,OF2024-SOLVENCY financial_pressure,中国中铁2024年年度报告,evidenced_by,1.00,OF2024-SOLVENCY
e88,company_b88f3b7c6259,event_5e0273dd44be,中铁三局集团桥隧工程有限公司,EX2025-EXEC-3J-BRIDGE execution_case,involves,3.00,EX2025-EXEC-3J-BRIDGE
e89,event_5e0273dd44be,risk_type_ed6a9edb2628,EX2025-EXEC-3J-BRIDGE execution_case,liquidity,classified_as,4.00,EX2025-EXEC-3J-BRIDGE
e90,event_5e0273dd44be,year_af9e781c4cbd,EX2025-EXEC-3J-BRIDGE execution_case,2025,occurred_in,1.00,EX2025-EXEC-3J-BRIDGE
e91,event_5e0273dd44be,source_ecd8b8ba5e04,EX2025-EXEC-3J-BRIDGE execution_case,经济参考网/新浪财经转引天眼查,evidenced_by,1.00,EX2025-EXEC-3J-BRIDGE
e92,event_5e0273dd44be,related_party_533edef6e2da,EX2025-EXEC-3J-BRIDGE execution_case,四川省成都市中级人民法院,related_to,1.00,EX2025-EXEC-3J-BRIDGE
e93,company_9a3040dd6ec0,event_205595cdeea7,中国中铁股份有限公司,OF2025-CONTRACT-ASSET asset_quality_signal,involves,5.00,OF2025-CONTRACT-ASSET
e94,event_205595cdeea7,risk_type_02d87bf49ed7,OF2025-CONTRACT-ASSET asset_quality_signal,operation,classified_as,4.00,OF2025-CONTRACT-ASSET
e95,event_205595cdeea7,year_af9e781c4cbd,OF2025-CONTRACT-ASSET asset_quality_signal,2025,occurred_in,1.00,OF2025-CONTRACT-ASSET
e96,event_205595cdeea7,source_9b9d389b3a64,OF2025-CONTRACT-ASSET asset_quality_signal,中国中铁2025年年度报告,evidenced_by,1.00,OF2025-CONTRACT-ASSET
e97,company_9a3040dd6ec0,event_863b3b24d3ea,中国中铁股份有限公司,OF2025-GUARANTEE guarantee,involves,3.00,OF2025-GUARANTEE
e98,event_863b3b24d3ea,risk_type_7526c16db72f,OF2025-GUARANTEE guarantee,organizational_propagation,classified_as,2.00,OF2025-GUARANTEE
e99,event_863b3b24d3ea,year_af9e781c4cbd,OF2025-GUARANTEE guarantee,2025,occurred_in,1.00,OF2025-GUARANTEE
e100,event_863b3b24d3ea,source_9b9d389b3a64,OF2025-GUARANTEE guarantee,中国中铁2025年年度报告,evidenced_by,1.00,OF2025-GUARANTEE
e101,event_863b3b24d3ea,related_party_9a2b26d69278,OF2025-GUARANTEE guarantee,集团内子公司、房地产项目购房业主等,related_to,1.00,OF2025-GUARANTEE
e102,company_9a3040dd6ec0,event_afcf0569721d,中国中铁股份有限公司,OF2025-LITIGATION litigation_contingency,involves,2.00,OF2025-LITIGATION
e103,event_afcf0569721d,risk_type_ff0c9bc7b1c2,OF2025-LITIGATION litigation_contingency,compliance,classified_as,3.00,OF2025-LITIGATION
e104,event_afcf0569721d,year_af9e781c4cbd,OF2025-LITIGATION litigation_contingency,2025,occurred_in,1.00,OF2025-LITIGATION
e105,event_afcf0569721d,source_9b9d389b3a64,OF2025-LITIGATION litigation_contingency,中国中铁2025年年度报告,evidenced_by,1.00,OF2025-LITIGATION
e106,event_afcf0569721d,related_party_542e62056c04,OF2025-LITIGATION litigation_contingency,客户、分包商、供应商等,related_to,1.00,OF2025-LITIGATION
e107,company_9a3040dd6ec0,event_885eda252b36,中国中铁股份有限公司,OF2025-PROFIT financial_pressure,involves,4.00,OF2025-PROFIT
e108,event_885eda252b36,risk_type_828441d4753e,OF2025-PROFIT financial_pressure,profitability,classified_as,4.00,OF2025-PROFIT
e109,event_885eda252b36,year_af9e781c4cbd,OF2025-PROFIT financial_pressure,2025,occurred_in,1.00,OF2025-PROFIT
e110,event_885eda252b36,source_9b9d389b3a64,OF2025-PROFIT financial_pressure,中国中铁2025年年度报告,evidenced_by,1.00,OF2025-PROFIT
e111,company_9a3040dd6ec0,event_aa96c61124d4,中国中铁股份有限公司,OF2025-RATING rating_action,involves,2.00,OF2025-RATING
e112,event_aa96c61124d4,risk_type_40b7822a570d,OF2025-RATING rating_action,solvency,classified_as,3.00,OF2025-RATING
e113,event_aa96c61124d4,year_af9e781c4cbd,OF2025-RATING rating_action,2025,occurred_in,1.00,OF2025-RATING
e114,event_aa96c61124d4,source_bbe8d130adfa,OF2025-RATING rating_action,联合资信：中国中铁股份有限公司2025年跟踪评级报告,evidenced_by,1.00,OF2025-RATING
e115,company_9a3040dd6ec0,event_2daccdc01f8b,中国中铁股份有限公司,OF2025-SOLVENCY financial_pressure,involves,4.00,OF2025-SOLVENCY
e116,event_2daccdc01f8b,risk_type_40b7822a570d,OF2025-SOLVENCY financial_pressure,solvency,classified_as,4.00,OF2025-SOLVENCY
e117,event_2daccdc01f8b,year_af9e781c4cbd,OF2025-SOLVENCY financial_pressure,2025,occurred_in,1.00,OF2025-SOLVENCY
e118,event_2daccdc01f8b,source_9b9d389b3a64,OF2025-SOLVENCY financial_pressure,中国中铁2025年年度报告,evidenced_by,1.00,OF2025-SOLVENCY
e119,company_f74e84e69880,event_0c6c5aa23950,中铁隧道局集团有限公司,EX2026-QCC-TUNNEL-23EXEC execution_case,involves,4.00,EX2026-QCC-TUNNEL-23EXEC
e120,event_0c6c5aa23950,risk_type_ed6a9edb2628,EX2026-QCC-TUNNEL-23EXEC execution_case,liquidity,classified_as,4.00,EX2026-QCC-TUNNEL-23EXEC
e121,event_0c6c5aa23950,year_78a00f266941,EX2026-QCC-TUNNEL-23EXEC execution_case,2026,occurred_in,1.00,EX2026-QCC-TUNNEL-23EXEC
e122,event_0c6c5aa23950,source_8f0595881ef6,EX2026-QCC-TUNNEL-23EXEC execution_case,财中社转引企查查,evidenced_by,1.00,EX2026-QCC-TUNNEL-23EXEC
e123,event_0c6c5aa23950,related_party_0bdfd0dd7e24,EX2026-QCC-TUNNEL-23EXEC execution_case,天津市滨海新区人民法院；聊城市东昌府区人民法院等,related_to,1.00,EX2026-QCC-TUNNEL-23EXEC
e124,company_f74e84e69880,event_8d8877ce56b3,中铁隧道局集团有限公司,EX2026-QCC-TUNNEL-EXEC execution_case,involves,4.00,EX2026-QCC-TUNNEL-EXEC
e125,event_8d8877ce56b3,risk_type_ed6a9edb2628,EX2026-QCC-TUNNEL-EXEC execution_case,liquidity,classified_as,4.00,EX2026-QCC-TUNNEL-EXEC
e126,event_8d8877ce56b3,year_78a00f266941,EX2026-QCC-TUNNEL-EXEC execution_case,2026,occurred_in,1.00,EX2026-QCC-TUNNEL-EXEC
e127,event_8d8877ce56b3,source_8f0595881ef6,EX2026-QCC-TUNNEL-EXEC execution_case,财中社转引企查查,evidenced_by,1.00,EX2026-QCC-TUNNEL-EXEC
e128,event_8d8877ce56b3,related_party_daa356a6ebfa,EX2026-QCC-TUNNEL-EXEC execution_case,多地法院,related_to,1.00,EX2026-QCC-TUNNEL-EXEC
e129,company_f74e84e69880,event_4edef0b12c6d,中铁隧道局集团有限公司,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,involves,2.00,EX2026-QCC-TUNNEL-PENALTY
e130,event_4edef0b12c6d,risk_type_ff0c9bc7b1c2,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,compliance,classified_as,4.00,EX2026-QCC-TUNNEL-PENALTY
e131,event_4edef0b12c6d,year_78a00f266941,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,2026,occurred_in,1.00,EX2026-QCC-TUNNEL-PENALTY
e132,event_4edef0b12c6d,source_8f0595881ef6,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,财中社转引企查查,evidenced_by,1.00,EX2026-QCC-TUNNEL-PENALTY
e133,event_4edef0b12c6d,related_party_7511ffe8f3c9,EX2026-QCC-TUNNEL-PENALTY administrative_penalty,行政监管部门,related_to,1.00,EX2026-QCC-TUNNEL-PENALTY
