node_id,label,node_type,community,weighted_degree,in_strength,out_strength,degree_centrality,betweenness_centrality,closeness_centrality,pagerank
event_afcf0569721d,OF2025-LITIGATION litigation_contingency,event,2,8.0000,2.0000,6.0000,0.065789,0.059082,0.329004,0.008946
year_af9e781c4cbd,2025,year,5,7.0000,7.0000,0.0000,0.092105,0.106280,0.311475,0.018907
event_aa96c61124d4,OF2025-RATING rating_action,event,5,7.0000,2.0000,5.0000,0.052632,0.040798,0.286792,0.008946
year_bc19ba460f1f,2024,year,3,6.0000,6.0000,0.0000,0.078947,0.132014,0.273381,0.017733
related_party_9a2b26d69278,集团内子公司、房地产项目购房业主等,related_party,4,5.0000,5.0000,0.0000,0.065789,0.017360,0.292308,0.016554
related_party_542e62056c04,客户、分包商、供应商等,related_party,2,5.0000,5.0000,0.0000,0.065789,0.013775,0.304000,0.015036
source_c9ee6d60b2e8,中国中铁2024年年度报告,source,4,5.0000,5.0000,0.0000,0.065789,0.007452,0.263889,0.015453
source_9b9d389b3a64,中国中铁2025年年度报告,source,4,5.0000,5.0000,0.0000,0.065789,0.006801,0.263889,0.015432
company_da2659b5b6a6,中铁上海工程局集团有限公司,company,2,4.0000,0.0000,4.0000,0.026316,0.001053,0.240506,0.008699
company_7615305be336,中铁六局集团路桥建设有限公司,company,1,3.0000,0.0000,3.0000,0.013158,0.000000,0.222222,0.008699
company_334ef122f170,中铁广州工程局集团第三工程有限公司,company,2,3.0000,0.0000,3.0000,0.013158,0.000000,0.236025,0.008699
risk_type_bcdbd26b39eb,project,risk_type,3,3.0000,3.0000,0.0000,0.013158,0.000000,0.180952,0.015539
company_b88f3b7c6259,中铁三局集团桥隧工程有限公司,company,1,3.0000,0.0000,3.0000,0.013158,0.000000,0.218391,0.008699
year_78a00f266941,2026,year,1,3.0000,3.0000,0.0000,0.039474,0.016780,0.251656,0.012766
source_8f0595881ef6,财中社转引企查查,source,1,3.0000,3.0000,0.0000,0.039474,0.016780,0.251656,0.012766
year_7104bc3a3df9,2021,year,2,2.0000,2.0000,0.0000,0.026316,0.001143,0.245161,0.011550
source_d43b27f6958a,中国中铁2021年年度报告,source,2,2.0000,2.0000,0.0000,0.026316,0.001143,0.245161,0.011550
year_63ff7434bd7c,2022,year,2,2.0000,2.0000,0.0000,0.026316,0.001143,0.245161,0.011550
source_16fd4bf840e2,中国中铁2022年年度报告,source,2,2.0000,2.0000,0.0000,0.026316,0.001143,0.245161,0.011550
company_086b1b86cf7d,中铁十局集团第二工程有限公司,company,1,2.0000,0.0000,2.0000,0.013158,0.000000,0.222222,0.008699
source_3c59d69e8115,每日经济新闻调查报道,source,1,2.0000,2.0000,0.0000,0.026316,0.001053,0.226190,0.012608
company_d637e6129c10,中铁隧道集团三处有限公司,company,1,2.0000,0.0000,2.0000,0.013158,0.000000,0.222222,0.008699
source_cac3c121eff2,中国中铁2023年年度报告,source,2,2.0000,2.0000,0.0000,0.026316,0.000560,0.265734,0.011550
company_6cf95965d0e2,中铁九局集团有限公司,company,3,2.0000,0.0000,2.0000,0.013158,0.000000,0.180952,0.008699
related_party_94a7abcc77d7,新野县安鑫商贸有限公司；郑州市金水区人民法院,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.222222,0.010654
source_090f4f535381,中国质量新闻网/新浪财经转引中国执行信息公开网,source,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.222222,0.010654
related_party_8315c2bb5b76,玉溪市红塔区人民法院等,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.222222,0.010654
source_5d3eb3bfff6c,每日经济新闻转引中国执行信息公开网,source,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010654
related_party_2b6ee0713c37,陕西康力建工有限公司；天等县人民法院,related_party,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010654
related_party_3bf944c5de0f,深圳市柳空压缩机有限公司等五家公司；深圳市南山区人民法院,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.222222,0.010654
source_8908b2179054,上海铁路运输法院民事判决书（2023）沪7101民初230号,source,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010456
related_party_9b8069f014c6,河北通力金属制品有限公司,related_party,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010456
source_1169c7f6d0d9,上海铁路运输法院民事判决书（2023）沪7101民初496号,source,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010456
related_party_663dc7dcee66,江苏诚鑫达供应链管理有限公司,related_party,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.236025,0.010456
source_d4928b8092a6,辽宁省朝阳市中级人民法院二审判决书（2024）辽13民终1533号,source,3,1.0000,1.0000,0.0000,0.013158,0.000000,0.180952,0.010979
related_party_835f65054b59,辽宁华展市政工程有限公司,related_party,3,1.0000,1.0000,0.0000,0.013158,0.000000,0.180952,0.010979
source_ecd8b8ba5e04,经济参考网/新浪财经转引天眼查,source,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.218391,0.010654
related_party_533edef6e2da,四川省成都市中级人民法院,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.218391,0.010654
source_bbe8d130adfa,联合资信：中国中铁股份有限公司2025年跟踪评级报告,source,5,1.0000,1.0000,0.0000,0.013158,0.000000,0.223529,0.010220
related_party_0bdfd0dd7e24,天津市滨海新区人民法院；聊城市东昌府区人民法院等,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.196891,0.010115
related_party_daa356a6ebfa,多地法院,related_party,1,1.0000,1.0000,0.0000,0.013158,0.000000,0.196891,0.010115
related_party_7511ffe8f3c9,行政监管部门,related_party,2,1.0000,1.0000,0.0000,0.013158,0.000000,0.222222,0.009935
